"","substanceBXH","geneSymbol","LocusLinkID","moduleColor","GS.rasgo","p.GS.rasgo","MM.turquoise","p.MM.turquoise","MM.blue","p.MM.blue","MM.grey","p.MM.grey","MM.yellow","p.MM.yellow","MM.green","p.MM.green","MM.magenta","p.MM.magenta","MM.pink","p.MM.pink","MM.red","p.MM.red","MM.black","p.MM.black","MM.brown","p.MM.brown"
"MMT00039685","MMT00039685",NA,NA,"grey",0.076571560258499,0.379201953008754,-0.0475688603127273,0.585203657463665,-0.033463293000768,0.701094022119043,0.194309038049913,0.0244677379918694,-0.0189478530350411,0.827973099597132,0.286200261592984,0.000801204360711848,0.230645923293386,0.00733682699870679,0.0358723633119214,0.680709779157671,-0.0394465388194255,0.650890866213513,0.213351642744658,0.013317884277601,0.162876960781972,0.0600604211772925
"MMT00029776","MMT00029776","4833415N24Rik",67391,"grey",-0.0765688872257669,0.37921864139192,-0.320042595871285,0.000163444921884439,-0.284634831637247,0.000858402286966105,0.602769914772371,1.2985255464684e-14,0.434236846515179,1.58848340285413e-07,0.24827623227755,0.00382175140922216,0.090198544047923,0.299989450461133,-0.12892779743966,0.137631618416435,0.0475640603901809,0.585241562421354,-0.170176151978737,0.0493171495778299,0.694546789291831,1.31705082663956e-20
"MMT00032812","MMT00032812","Cyp2d10",13101,"grey",0.0764706660423035,0.37983216946559,0.25429000504372,0.00302741875536611,-0.164278954011396,0.0578599055280153,0.256446226232695,0.00278108862242048,-0.311012253066297,0.000254549970357993,0.2924561333018,0.00060582321657283,0.270419799991663,0.00157714662182283,0.181360940639913,0.0359793913572138,0.0510529090870495,0.55799265718802,0.0612654181278642,0.481921626083698,0.107126768559525,0.217944269882327
"MMT00010888","MMT00010888","E030025D05Rik",216613,"grey",-0.0764532198664029,0.379941208188604,0.18673571786274,0.0307408367333976,0.380790190831651,5.65568977688449e-06,-0.544668746447473,1.0234557476167e-11,-0.0834786239271913,0.337580523483809,-0.246021126724674,0.00416487362271309,-0.0303994186181828,0.727327677276679,-0.0397719344419608,0.64820247310968,-0.107137901426808,0.217896170166191,0.472725794965869,8.05482624773325e-09,-0.655537302681233,8.34428842327128e-18
"MMT00078811","MMT00078811","Gp49b",14728,"grey",-0.0763039909270052,0.380874667142969,0.0443992538734082,0.610475559207883,-0.161732559744611,0.0619070716653318,0.231152457495665,0.00720518596395896,0.336531075951024,7.01626271381445e-05,-0.0513807162372574,0.555464082061611,0.0726312008136704,0.4042853079009,-0.0923014992660193,0.288815687826292,-0.0732533598891726,0.400260831598018,0.00514166836239013,0.952982464463403,0.0332879309052123,0.702586394888417
"MMT00053673","MMT00053673","1810054O13Rik",67893,"grey",-0.076221270638775,0.38139269948693,-0.0742328828304526,0.393973185436646,-0.213465580235798,0.0132675077484797,0.252557695166694,0.00323938812392233,0.326610147516711,0.000117377871745592,0.109017581274002,0.20988284314191,-0.0437278266584542,0.615889827793759,-0.0807511397599589,0.353656406212115,0.00144348884440462,0.986793177737809,0.0728939596272638,0.402582723949511,0.129204079648822,0.136783306735091
"MMT00056120","MMT00056120","Rap2b",74012,"grey",-0.0759952558644512,0.382810285754261,-0.0824524387204614,0.343573589789474,-0.106427108250825,0.220982314588485,0.0774592314534271,0.373684735077753,0.43326497865919,1.70472715654493e-07,-0.129318061257181,0.136434495858356,-0.201463632439437,0.0195827128157612,-0.1771624361972,0.0405777895169556,-0.138119237663954,0.111496101299273,-0.126935121000344,0.143869231776509,-0.0860521890858309,0.32284467914674
"MMT00072669","MMT00072669","5830404H04Rik",207781,"grey",0.0757837372120449,0.384139838196877,-0.118876333328112,0.171294173351559,0.266552948310993,0.00185075896483305,0.0373796928939846,0.668070728793297,-0.202491017393613,0.0189555256940294,0.444551726134163,7.40412833384421e-08,0.435854905690063,1.4115738800641e-07,-0.00114454430374132,0.989528116804811,0.066404965249454,0.44586103776248,0.638901164190891,9.87691063374072e-17,-0.00980713978241911,0.910454745569275
"MMT00029304","MMT00029304","2010110O04Rik",72431,"grey",0.0757196436740711,0.384543264665802,-0.120811671644597,0.164379273313611,0.0735414640032589,0.398405304362276,0.0993585085980413,0.253366171032828,0.0108276854299054,0.901181550374179,0.18501480390774,0.0323427425393843,-0.0850023327930704,0.328805163812356,0.0753425996034574,0.386921690154762,0.588410366319701,7.64575530044082e-14,-0.079285454704289,0.3624895230741,0.186134362088918,0.0312927771191973
"MMT00015662","MMT00015662","Olfr584",259056,"grey",-0.0756961943166633,0.384690926860647,0.0328295293504271,0.706492844615638,0.136294799794337,0.116349477726689,-0.460552469205094,2.15288538968946e-08,-0.07899092162751,0.36428090274617,-0.325282809130624,0.000125577167164321,-0.408846002420297,9.36742890671871e-07,-0.111859461772159,0.198171595905844,-0.0375882585263149,0.666329098505952,-0.0283622490383258,0.744949228557357,-0.451764469258093,4.27619751812061e-08
